,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.24479232723147212,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.362,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.7177333333333333,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.172,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.13973333333333332,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.2096,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.5075333333333334,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.10166666666666666,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.22833333333333333,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.13966666666666666,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.19033333333333333,0.0,0.3333333333333333
2024-01-01 04:15:00,0.001,0.0,0.001,0.17766666666666667,0.0,5.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.051,0.0,4.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.051,0.0,2.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.051,0.0,5.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.15233333333333335,0.0,5.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.21566666666666665,0.0,5.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.051,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.11433333333333333,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.241,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.06366666666666666,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.05706666666666667,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.064,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.08933333333333333,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.7870666666666667,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.11466666666666667,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.45253333333333334,0.0,4.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.49113333333333326,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.172,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.34933333333333333,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.26066666666666666,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.172,0.0,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.172,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.07519999999999999,0.0,0.0
