,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.17266666666666666,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.21066666666666664,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.14733333333333334,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.23600000000000002,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.12199999999999998,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.07133333333333332,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.23600000000000002,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.09666666666666666,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.046,0.0,1.4
2024-01-01 04:15:00,0.001,0.0,0.001,0.046,0.0,1.5
2024-01-01 04:30:00,0.001,0.0,0.001,0.09666666666666666,0.0,1.5
2024-01-01 04:45:00,0.001,0.0,0.001,0.23600000000000002,0.0,0.2
2024-01-01 05:00:00,0.001,0.0,0.001,0.07133333333333333,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.046,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.12199999999999998,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.23600000000000002,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.046,0.0,1.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.046,0.0,1.5
2024-01-01 06:45:00,0.001,0.0,0.001,0.046,0.0,1.5
